#t_ns,in_ts
7713231336015,73443025982300
7713264625115,73443059287906
7713297913515,73443092877965
7713331224415,73443125227199
7713364514115,73443159707486
7713397781515,73443193029850
7713431077615,73443221975613
7713464381915,73443257141454
7713497649415,73443292703498
7713530945915,73443325813120
7713564237615,73443359155938
7713597518715,73443391921366
7713630811815,73443425240181
7713664096415,73443458613265
7713697386915,73443492567024
7713730675115,73443526110869
7713763964515,73443559390776
7713797254915,73443592074702
7713830544215,73443625617531
7713863832115,73443659244506
7713897122915,73443692037823
7713930412615,73443720559682
7713963706715,73443759888442
7713996990415,73443793572599
7714030279415,73443826594673
7714063576915,73443860545487
7714096858115,73443893110204
7714130147715,73443926645246
7714163444315,73443960197267
7714196728215,73443992762820
7714230016215,73444027346599
7714263312415,73444059798992
7714296597015,73444092987778
7714329886315,73444126083338
7714363178115,73444159199484
7714396462615,73444192412671
7714429753815,73444220672402
7714463045015,73444257034214
7714496330915,73444292377885
7714529621415,73444326596333
7714562910615,73444359875241
7714596199015,73444392562266
7714629489215,73444426319543
7714662780115,73444459810426
7714696066915,73444492699883
7714729357215,73444526353209
7714762645915,73444559780600
7714795960815,73444592539699
7714829224815,73444620300204
7714862513815,73444658487162
7714895810615,73444689322238
7714929093715,73444726778066
7714962382115,73444753016108
7714995678815,73444792326540
7715028962815,73444819789107
7715062250315,73444858617039
7715095544215,73444886534894
7715128829415,73444925895589
7715162119115,73444959848432
7715195407715,73444993098929
7715228697215,73445022198051
7715261987215,73445060534543
7715295277615,73445090709890
7715328565315,73445126267743
7715361855815,73445157059559
7715395146115,73445192800992
7715428434015,73445223554278
7715461723515,73445258431329
7715495012515,73445290037559
7715528308215,73445323142069
7715561591515,73445360129450
7715594880515,73445387949547
7715628176615,73445421977548
7715661460415,73445454918929
7715694748315,73445491275206
7715728045215,73445523167571
7715761328415,73445558774187
7715794616715,73445589122023
7715827913715,73445624521109
7715861207715,73445658360456
7715894485515,73445690687322
7715927775315,73445720196549
7715961063415,73445756924495
7715994354215,73445789968125
7716027642115,73445824697805
7716060931915,73445857688174
7716094222415,73445886930414
7716127545815,73445933743864
7716160799315,73445957811726
7716194090115,73445990684147
7716227380115,73446024175522
7716260675715,73446057649645
7716293957915,73446091088533
7716327247315,73446124158869
7716360546915,73446154450827
7716393825815,73446191408439
7716427114815,73446224961983
7716460411415,73446258419231
7716493694515,73446291962681
7716526983115,73446321889575
7716560279815,73446359171791
7716593562915,73446391180231
7716626853215,73446425083134
7716660141515,73446454076522
7716693429815,73446490953647
7716726721615,73446525057147
7716760008715,73446557972146
7716793298215,73446587924091
7716826588915,73446624739071
7716859877815,73446658809475
7716893166315,73446691151995
7716926456115,73446725270687
7716959746415,73446758771837
7716993050015,73446787764745
7717026324415,73446826446846
7717059613215,73446859387794
7717092910215,73446892663398
7717126191915,73446926996048
7717159481315,73446955641557
7717192777615,73446992545673
7717226060915,73447026574549
7717259349315,73447060074346
7717292642915,73447093290961
7717325930115,73447126905924
7717359217615,73447159505409
7717392508215,73447190678613
7717425796215,73447226118952
7717459111815,73447259496655
7717492375115,73447290699150
7717525665015,73447325962926
7717558955515,73447358300534
7717592244415,73447393114186
7717625532715,73447426099255
7717658822715,73447459140220
7717692113415,73447491229219
7717725406615,73447520716307
7717758691715,73447558137444
7717791979115,73447592608530
7717825275415,73447626074533
7717858559515,73447658117553
7717891847615,73447692029300
7717925144515,73447726756811
7717958428015,73447759602294
7717991715815,73447793977280
7718025012515,73447825042425
7718058296115,73447857806207
7718091583815,73447893117022
7718124874515,73447924867321
7718158164015,73447957262323
7718191453015,73447989559049
7718224742815,73448026316853
7718258034415,73448054542948
7718291321515,73448093749433
7718324634615,73448126421843
7718357899115,73448160123947
7718391189015,73448193738556
7718424483615,73448227137752
7718457772415,73448259888109
7718491057715,73448293101440
7718524347115,73448326334074
7718557643115,73448359231772
